id,date,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,fighter_age,opponent_age
27,9017,0.0,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,4,0,6,4,0,0,2043.0,1036.9823243231353,1008.491398527355,0,1,2,3,0,0,0,0,0,0,0.0,-1.0,-1.0,-1.0,0.0,0,1,1,0,0,0,1825.0,985.0115023760129,1036.9823243231353,0,0,0,1,0,0,0,0,0,0,win,SUB,1,-2151,
28,9017,0.0,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.7142857142857143,5,0,7,5,0,0,2043.0,1050.6066718658758,1003.1907922853433,0,1,3,3,0,0,0,0,0,0,0.0,-7.0,-1.0,0.0,0.0,0,1,1,0,0,0,1825.0,984.2893179656816,1021.9938266991483,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,-2151,
29,9017,-1.0,-33.0,0.0,0.0,0.0,0,1,1,0,0,0,3297.0,984.0,1016.0,1,0,0,0,0,0,0,0,0,0,1.0,33.0,0.0,0.0,1.0,1,0,1,1,0,0,1825.0,1016.0,984.0,1,0,0,0,0,0,0,0,0,0,loss,KO/TKO,1,-3405,
30,9115,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1985.0,983.263693206478,1000.736306793522,1,0,0,0,0,0,0,0,0,0,0.0,0.5,-0.5,-0.5,0.5,1,0,2,1,0,0,1825.0,1000.736306793522,999.631846603239,1,0,0,1,0,0,0,0,0,0,loss,KO/TKO,1,-1995,
31,9115,0.0,-0.35714285714285715,0.42857142857142855,0.9285714285714286,1.0,14,0,14,14,3,3,1008.0,1169.3147853615308,986.9462761095917,1,0,6,7,0,0,0,0,0,0,0.0,-1.0,1.0,1.0,1.0,1,0,1,1,0,0,4215.0,1016.0,984.0,0,0,0,1,0,0,0,0,0,0,win,SUB,1,-1116,-4225
32,9115,0.0,-0.6,0.3333333333333333,1.0666666666666667,1.0,15,0,15,15,4,4,1106.0,1178.6795680650819,988.2588721887155,1,0,7,7,0,0,0,0,0,0,1.0,33.0,0.0,0.0,1.0,2,0,2,2,0,0,1825.0,1030.5304984710244,976.7347507644877,1,1,0,0,0,0,0,0,0,0,win,SUB,1,-1116,
33,9115,0.0,6.666666666666667,1.3333333333333333,-0.3333333333333333,1.0,3,0,3,3,2,2,1825.0,1045.860114141141,984.958730884127,1,1,0,1,0,0,0,0,0,0,0.0,-12.0,-2.0,-1.0,0.0,0,1,1,0,0,0,159.0,985.4374186863346,1045.860114141141,0,0,0,1,0,0,0,0,0,0,win,SUB,1,,-169
34,9115,-1.0,10.0,1.0,0.0,1.0,1,0,1,1,0,0,721.0,1016.0,984.0,0,1,0,0,0,0,0,0,0,0,1.0,-10.0,-1.0,0.0,0.0,0,1,1,0,0,0,1825.0,984.0,1016.0,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,-731,
35,9115,0.75,-1.25,0.0,0.0,0.5,0,1,4,2,0,0,1825.0,997.2237161984541,992.6940709503864,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0,1,1,0,0,1825.0,1016.6380179535549,997.2237161984541,0,0,1,0,0,0,0,0,0,0,loss,SUB,1,,
36,9115,0.0,-1.6666666666666667,1.3333333333333333,-0.3333333333333333,0.6666666666666666,1,0,3,2,1,0,4215.0,1022.3296913908187,1048.9950313235706,0,0,1,2,0,0,0,0,0,0,0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,2,0,3,2,0,0,1825.0,1015.9323408595197,989.1104507823194,1,1,0,1,0,0,0,0,0,0,win,SUB,1,-4225,
37,9115,0.0,-1.5,1.25,0.0,0.75,2,0,4,3,1,0,4215.0,1038.0351158017331,1036.8030026048293,0,0,2,2,0,0,0,0,0,0,0.0,8.0,-2.0,-1.0,0.0,0,1,1,0,0,0,1825.0,984.3055259056302,1022.3296913908187,0,0,0,1,0,0,0,0,0,0,win,SUB,1,-4225,
38,9115,0.0,-8.0,1.0,0.0,0.0,0,1,1,0,0,0,335.0,984.9644199022919,1036.003110092733,0,0,1,0,0,0,0,0,0,0,0.5,16.75,-0.25,-0.75,0.75,1,0,4,3,0,0,1825.0,1036.003110092733,1031.669114493087,1,1,2,0,0,0,0,0,0,0,loss,SUB,1,325,
39,9115,0.0,-7.0,-1.0,-1.0,0.0,0,1,1,0,0,0,9828.0,991.9096560240838,1196.3328805169972,0,0,1,0,0,0,0,0,0,0,0.0,0.29411764705882354,0.35294117647058826,1.1764705882352942,1.0,17,0,17,17,4,4,1106.0,1196.3328805169972,990.3976628735201,1,0,9,7,0,0,0,0,0,0,loss,SUB,1,-9838,-1116
